,actor,critic,policy,reward
0,-1.0497064590454102,0.4741622805595398,"{'operation': 5, 'magnitude': 2, 'probability': 0.5}",0.8917138576507568
1,-0.821079671382904,0.2111697942018509,"{'operation': 4, 'magnitude': 3, 'probability': 0.7}",0.9951364994049072
2,-0.4963900148868561,0.04124090448021889,"{'operation': 1, 'magnitude': 1, 'probability': 0.3}",0.9848171472549438
3,-0.18404346704483032,0.0014021688839420676,"{'operation': 5, 'magnitude': 0, 'probability': 0.5}",1.0181536674499512
4,0.0927492156624794,0.05128525570034981,"{'operation': 3, 'magnitude': 2, 'probability': 0.9}",1.004439115524292
5,0.2101467102766037,0.06112711876630783,"{'operation': 2, 'magnitude': 0, 'probability': 0.4}",1.0097037553787231
6,0.13747034966945648,0.009692954830825329,"{'operation': 4, 'magnitude': 4, 'probability': 0.8}",1.0275434255599976
7,0.09144420921802521,0.0009609346161596477,"{'operation': 4, 'magnitude': 4, 'probability': 0.6}",1.0296199321746826
8,0.012946001254022121,0.0023693020921200514,"{'operation': 0, 'magnitude': 1, 'probability': 0.7}",1.030197262763977
9,-0.16392266750335693,0.022581694647669792,"{'operation': 0, 'magnitude': 2, 'probability': 0.3}",1.0542237758636475
10,-0.1875515729188919,0.013381664641201496,"{'operation': 3, 'magnitude': 4, 'probability': 0.7}",1.0993006229400635
11,-0.0991191416978836,0.00048355228500440717,"{'operation': 3, 'magnitude': 1, 'probability': 0.4}",1.092986822128296
12,-0.05557122454047203,8.935129881137982e-05,"{'operation': 0, 'magnitude': 3, 'probability': 0.5}",1.0947909355163574
13,0.02508077584207058,0.004255436360836029,"{'operation': 3, 'magnitude': 4, 'probability': 0.6}",1.0957021713256836
14,0.0814352035522461,0.008668933063745499,"{'operation': 0, 'magnitude': 2, 'probability': 0.6}",1.1006593704223633
15,0.07423076778650284,0.0021316464990377426,"{'operation': 5, 'magnitude': 4, 'probability': 0.0}",1.0960359573364258
16,0.01662549003958702,0.0006040123989805579,"{'operation': 0, 'magnitude': 2, 'probability': 0.2}",1.1020047664642334
17,-0.03830981254577637,0.0021419732365757227,"{'operation': 2, 'magnitude': 3, 'probability': 0.8}",1.1056467294692993
18,-0.07174459099769592,0.002688616281375289,"{'operation': 1, 'magnitude': 2, 'probability': 0.8}",1.1056586503982544
19,-0.06775274872779846,0.0005218191654421389,"{'operation': 0, 'magnitude': 3, 'probability': 0.6}",1.1082370281219482
20,0.020139969885349274,0.0013662006240338087,"{'operation': 2, 'magnitude': 4, 'probability': 0.4}",1.1088577508926392
21,0.02704763412475586,0.00014561729039996862,"{'operation': 3, 'magnitude': 4, 'probability': 0.6}",1.1123151779174805
22,-0.009854600764811039,0.00047140856622718275,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}",1.109984040260315
23,-0.08117237687110901,0.0020074176136404276,"{'operation': 1, 'magnitude': 1, 'probability': 0.0}",1.1130483150482178
24,-0.008987409062683582,0.0005152445519343019,"{'operation': 2, 'magnitude': 3, 'probability': 0.6}",1.105992078781128
25,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.8}",
26,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.6}",
27,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.0}",
28,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.7}",
29,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.4}",
30,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.7}",
31,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.0}",
32,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.7}",
33,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.5}",
34,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.1}",
35,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.8}",
36,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.7}",
37,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.5}",
38,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.0}",
39,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.2}",
40,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.9}",
41,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.4}",
42,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.3}",
43,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.5}",
44,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.0}",
45,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.5}",
46,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.3}",
47,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.3}",
48,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.9}",
49,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.7}",
50,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.6}",
51,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.9}",
52,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.2}",
53,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.2}",
54,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.8}",
55,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.4}",
56,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.1}",
57,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.3}",
58,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.8}",
59,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.0}",
60,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.5}",
61,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.6}",
62,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.6}",
63,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.1}",
64,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.5}",
65,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.1}",
66,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.5}",
67,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.6}",
68,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.8}",
69,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.0}",
70,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.4}",
71,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.9}",
72,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.2}",
73,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.7}",
74,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.8}",
75,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.0}",
76,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}",
77,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.7}",
78,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.8}",
79,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.4}",
80,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.6}",
81,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.8}",
82,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.7}",
83,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.6}",
84,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.4}",
85,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.2}",
86,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.8}",
87,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.0}",
88,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.5}",
89,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.4}",
90,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.7}",
91,,,"{'operation': 1, 'magnitude': 4, 'probability': 0.8}",
92,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.3}",
93,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.1}",
94,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.0}",
95,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.2}",
96,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.6}",
97,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.9}",
98,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.6}",
99,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.9}",
100,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.3}",
101,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.9}",
102,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.7}",
103,,,"{'operation': 4, 'magnitude': 2, 'probability': 0.3}",
104,,,"{'operation': 0, 'magnitude': 2, 'probability': 0.3}",
105,,,"{'operation': 5, 'magnitude': 4, 'probability': 0.0}",
106,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.0}",
107,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.1}",
108,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.8}",
109,,,"{'operation': 4, 'magnitude': 1, 'probability': 0.8}",
110,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.0}",
111,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.3}",
112,,,"{'operation': 3, 'magnitude': 2, 'probability': 0.0}",
113,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.4}",
114,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.3}",
115,,,"{'operation': 0, 'magnitude': 3, 'probability': 0.2}",
116,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.6}",
117,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.7}",
118,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.4}",
119,,,"{'operation': 1, 'magnitude': 1, 'probability': 0.3}",
120,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.8}",
121,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.4}",
122,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.6}",
123,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.9}",
124,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.2}",
125,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.4}",
126,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.7}",
127,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.6}",
128,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.1}",
129,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.5}",
130,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.1}",
131,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.1}",
132,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.8}",
133,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.6}",
134,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.0}",
135,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.3}",
136,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.5}",
137,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.8}",
138,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.8}",
139,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.6}",
140,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.6}",
141,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.6}",
142,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.2}",
143,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.8}",
144,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.8}",
145,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.3}",
146,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.7}",
147,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.1}",
148,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.5}",
149,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.1}",
150,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.5}",
151,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.6}",
152,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.0}",
153,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.8}",
154,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.7}",
155,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.1}",
